index,word,freq,# texts,freq/texts,entire corpus,expected
131,PLANT,22,8,4.4,"59,380",5
132,LETTER,22,8,3.2,"81,534",6.9
133,STORY,21,15,0.8,"319,589",27.1
134,SENSE,21,14,1.1,"216,578",18.4
135,EMPLOYEE,21,10,8.2,"30,244",2.6
136,PASS,21,10,8.4,"29,426",2.5
137,SALT,21,3,5.5,"44,868",3.8
138,EVENT,20,18,2.4,"96,226",8.2
139,MORNING,20,17,0.9,"252,880",21.5
140,INFORMATION,20,17,0.7,"314,253",26.7
141,HOUR,20,17,2,"118,947",10.1
142,HOUSE,20,15,0.5,"494,171",41.9
143,NATION,20,15,1.8,"132,695",11.3
144,SYSTEM,20,15,0.7,"334,830",28.4
145,SECOND,20,13,2.6,"91,169",7.7
146,STATEMENT,20,13,2.7,"86,740",7.4
147,MILE,20,12,9.8,"24,097",2
148,MEETING,20,11,2.9,"80,484",6.8
149,STAFF,20,11,2.2,"105,411",8.9
150,HALF,20,8,4.5,"52,763",4.5
151,OFFENSE,20,8,7.6,"30,925",2.6
152,TRAIL,20,7,6.9,"34,212",2.9
153,RIVER,20,6,2.6,"89,153",7.6
154,COST,19,17,2.4,"94,556",8
155,TOP,19,15,1.7,"128,004",10.9
156,MOMENT,19,13,1.1,"200,309",17
157,BASKETBALL,19,11,5.6,"39,701",3.4
158,DRIVE,19,11,4.3,"52,483",4.5
159,COMMENT,19,10,3.8,"58,563",5
160,DAUGHTER,19,8,1.9,"120,371",10.2
161,DEATH,19,7,1.1,"207,442",17.6
162,GAMBLING,19,1,23.3,"9,613",0.8
163,HAND,18,16,0.7,"293,449",24.9
164,EFFORT,18,15,2.2,"98,026",8.3
165,COUPLE,18,14,1.3,"168,218",14.3
166,WIN,18,12,8.9,"23,817",2
167,DEPTH,18,11,9.3,"22,906",1.9
168,GOVERNMENT,18,10,0.5,"396,195",33.6
169,SITE,18,10,1.6,"135,353",11.5
170,STARTER,18,10,22.4,"9,482",0.8
171,TABLE,18,8,1,"216,000",18.3
172,RUN,17,14,3.2,"63,120",5.4
173,WORD,17,14,1.1,"190,287",16.2
174,DECADE,17,13,3.8,"53,310",4.5
175,CLASS,17,13,1.2,"168,845",14.3
176,RECORD,17,12,1.7,"120,098",10.2
177,CONSTRUCTION,17,10,3.9,"51,943",4.4
178,RETURN,17,10,3.6,"56,259",4.8
179,LEAGUE,17,9,2.9,"69,502",5.9
180,ROAD,17,8,1.4,"147,870",12.6
181,HARASSMENT,17,2,14.7,"13,635",1.2
182,GROUND,16,15,1.4,"134,886",11.4
183,HISTORY,16,14,0.7,"253,522",21.5
184,BLOCK,16,14,3.9,"48,662",4.1
185,NAME,16,14,0.6,"294,833",25
186,PERSON,16,14,0.6,"297,398",25.2
187,OFFICIAL,16,13,6.7,"28,236",2.4
188,LIST,16,13,1.4,"132,273",11.2
189,HEAD,16,13,0.6,"305,193",25.9
190,HELP,16,13,1.6,"115,549",9.8
191,COURT,16,12,0.9,"217,054",18.4
192,PHOTO,16,12,1.4,"130,166",11
