index,word,freq,# texts,freq/texts,entire corpus,expected
142,ONLINE,8,8,4,"3,214",1.9
143,WISE,8,8,1.9,"6,938",4.1
144,GROSS,8,8,2,"6,202",3.7
145,ACTUAL,8,8,1,"9,960",5.9
146,DIRTY,8,7,1,"15,862",9.5
147,HEALTHY,8,7,2,"9,246",5.5
148,INCREDIBLE,8,7,1,"14,319",8.5
149,FAMILIAR,8,7,1.1,"11,851",7.1
150,PUBLIC,8,7,1,"15,227",9.1
151,ORIGINAL,8,7,1,"17,407",10.4
152,OFFICIAL,8,7,2,"8,161",4.9
153,LIVE,8,7,1,"10,905",6.5
154,RIDICULOUS,8,6,1,"18,691",11.1
155,SAD,8,6,1,"20,908",12.5
156,SILENT,8,6,2,"6,609",3.9
157,WELCOME,8,6,1,"18,300",10.9
158,VERY,8,6,1,"17,012",10.1
159,BRIGHT,8,6,1,"10,649",6.3
160,CREATIVE,8,6,3,"4,262",2.5
161,HON,8,6,8,"1,764",1.1
162,DELICIOUS,8,6,1,"9,263",5.5
163,GIANT,8,5.00,1.3,"10,398",6.2
164,FEMINIST,8,4,38.8,346,0.2
165,ORGANIC,8,3,5,"2,776",1.7
166,TAXIDERMY,8,2,244,55,0
167,PRESCHOOL,8,2,24,567,0.3
168,CERTAIN,7,7,0.5,"25,883",15.4
169,POSSIBLE,7,7,0,"47,614",28.4
170,SILLY,7,6,1,"13,233",7.9
171,PEACEFUL,7,6,4,"3,187",1.9
172,FAR,7,6,3,"4,120",2.5
173,COMFORTABLE,7,6,1,"14,550",8.7
174,DRY,7,5,1,"10,839",6.5
175,SOY,7,5,10.1,"1,167",0.7
176,SCARED,7,5,0,"30,361",18.1
177,SCARY,7,5,1,"10,086",6
178,LOVELY,7,5,0.4,"28,153",16.8
179,MARRIED,7,5,0,"31,468",18.8
180,MISSING,7,4,1,"14,776",8.8
181,AUTHENTIC,7,4.00,7.1,"1,642",1
182,BLIND,7,4,1,"11,705",7
183,FAST,7,4,1,"9,993",6
184,FAT,7,4,1,"13,602",8.1
185,INDECISIVE,7,2,78.8,149,0.1
186,MAJOR,6,6,0.7,"15,208",9.1
187,THIRSTY,6,6,3,"3,256",1.9
188,STARVING,6,6,2,"4,297",2.6
189,TOTAL,6,6,0.9,"11,516",6.9
190,COMMON,6,6,1,"12,272",7.3
191,HEAVY,6,6,0.7,"13,525",8.1
192,KEY,6,6,1,"7,190",4.3
193,LARGE,6,6,1,"15,024",9
194,DARK,6,6,1,"20,576",12.3
195,DEPRESSED,6,5,2.7,"3,697",2.2
196,SURPRISED,6,5,1,"18,436",11
197,EMPTY,6,5,1,"13,921",8.3
198,FRIENDLY,6,5,1.3,"7,663",4.6
199,TRADITIONAL,6,5,3,"3,953",2.4
200,BORING,6,5,1,"9,809",5.8
201,PRIVATE,6,5,0,"23,594",14.1
202,ROMANTIC,6,4,1,"11,037",6.6
203,SPICY,6,4,6,"1,673",1
204,MALE,6,4,1,"7,562",4.5
205,PROPER,6,4,1,"10,452",6.2
206,BASS,6,4,12,866,0.5
207,ALLERGIC,6,4,3,"3,390",2
208,WILD,6,4,0.7,"14,286",8.5
209,FIXED,6,4,6,"1,810",1.1
210,TINY,6,4,0.7,"14,063",8.4
211,BROKEN,6,3,1,"9,866",5.9
212,SHITTY,6,3,6,"1,752",1
213,RICH,6,3,1,"19,757",11.8
214,SECURE,6,2,2,"4,459",2.7
