index,word,freq,# texts,freq/texts,entire corpus,expected
130,FAR,7,7,2.6,"31,885",2.7
131,EXTENSIVE,7,7,3.6,"23,022",2
132,COMPLETE,7,7,1.2,"66,193",5.6
133,UNUSUAL,7,7,2.4,"33,706",2.9
134,WILD,7,6,1.5,"55,998",4.8
135,WILLING,7,6,1.1,"76,658",6.5
136,RICH,7,6,1.1,"78,074",6.6
137,FUN,7,6,1.3,"65,863",5.6
138,HEALTHY,7,6,1.4,"60,752",5.2
139,QUIET,7,5,1.5,"56,475",4.8
140,GLOBAL,7,5,0.8,"99,852",8.5
141,AVERAGE,7,5,1.2,"67,634",5.7
142,TINY,7,5,1.4,"58,055",4.9
143,STIFF,7,4,7.9,"10,396",0.9
144,NATIVE,7,4,1.6,"52,957",4.5
145,LEGISLATIVE,7,4,4.2,"19,625",1.7
146,ELEMENTARY,7,3,3.1,"26,551",2.3
147,HEXAVALENT,7,2,"1,268.80",65,0
148,ANNUAL,6,6,1.2,"59,303",5
149,BUSY,6,6,1.5,"47,341",4
150,RARE,6,6,1.7,"42,482",3.6
151,PRIMARY,6,6,1.2,"58,998",5
152,PREPARED,6,6,9.2,"7,668",0.7
153,LOST,6,6,2.3,"30,407",2.6
154,MILITARY,6,5,0.4,"163,623",13.9
155,MULTIPLE,6,5,1.1,"61,696",5.2
156,ACTIVE,6,5,1.2,"58,820",5
157,POWERFUL,6,5,0.9,"76,774",6.5
158,CONCERNED,6,5,1,"72,339",6.1
159,COLD,6,5,0.8,"89,982",7.6
160,CRAZY,6,5,0.8,"85,947",7.3
161,BROAD,6,5,2,"35,969",3.1
162,LIGHT,6,5,1.3,"53,930",4.6
163,DRY,6,5,1.6,"45,141",3.8
164,USUAL,6,5,2.1,"33,012",2.8
165,SURPRISED,6,5,1.5,"47,288",4
166,SWEET,6,5,1.1,"63,751",5.4
167,STILL,6,5,2.1,"33,645",2.9
168,DISTINCTIVE,6,4,7.4,"9,582",0.8
169,DISAPPOINTED,6,4,3.8,"18,707",1.6
170,FINISHED,6,4,13.4,"5,291",0.4
171,FRIENDLY,6,4,2.7,"25,951",2.2
172,BASIC,6,4,1,"74,224",6.3
173,PHYSICAL,6,4,0.6,"109,593",9.3
174,CULTURAL,6,4,0.9,"78,044",6.6
175,PRODUCTIVE,6,4,4.1,"17,316",1.5
176,RIPE,6,3,10.6,"6,643",0.6
177,FRESH,6,3,0.9,"75,629",6.4
178,PASSING,6,3,5.1,"13,972",1.2
179,SOUTHERN,6,3,1.1,"67,189",5.7
180,URBAN,6,3,1.5,"45,647",3.9
181,BROKEN,6,2,2.4,"28,976",2.5
182,CRUNCHY,6,2,36.7,"1,925",0.2
183,MAIN,5,5,0.6,"103,814",8.8
184,INVOLVED,5,5,0.8,"72,492",6.2
185,REMAINING,5,5,1.9,"31,408",2.7
186,RAINY,5,5,11.8,"5,007",0.4
187,ENTIRE,5,5,0.5,"122,401",10.4
188,DYNAMIC,5,5,3.2,"18,152",1.5
189,PASSIONATE,5,5,4.6,"12,762",1.1
190,OFFICIAL,5,5,1.2,"47,375",4
191,GLAD,5,5,1,"59,654",5.1
192,FIT,5,5,2.7,"21,832",1.9
193,CONVINCED,5,5,3.7,"15,827",1.3
194,CHIEF,5,5,1.1,"52,482",4.5
195,AMAZING,5,5,0.8,"69,541",5.9
196,AWARE,5,5,0.9,"63,495",5.4
197,ATHLETIC,5,5,3,"19,651",1.7
198,SOLID,5,5,1.5,"40,330",3.4
199,SPECIFIC,5,5,0.6,"101,255",8.6
200,SMART,5,5,1.1,"55,010",4.7
201,STRAIGHT,5,5,1.8,"32,834",2.8
202,SIGNIFICANT,5,5,0.5,"123,049",10.4
203,WESTERN,5,5,0.9,"67,108",5.7
204,UNDEFEATED,5,4,22.7,"2,591",0.2
205,VERY,5,4,0.8,"74,480",6.3
206,TYPICAL,5,4,1.4,"40,790",3.5
207,STRANGE,5,4,1.1,"53,347",4.5
208,ASSISTANT,5,4,2.6,"22,745",1.9
209,FAMILIAR,5,4,1.1,"54,667",4.6
210,PACKED,5,4,13.4,"4,393",0.4
211,DUE,5,4,1.6,"37,072",3.1
212,DEDICATED,5,4,6.6,"8,899",0.8
213,PLAYING,5,4,11.3,"5,195",0.4
214,PROPOSED,5,4,2.6,"22,869",1.9
215,RECEIVING,5,4,19.9,"2,959",0.3
216,SAID,5,4,6.2,"9,442",0.8
217,RED,5,4,0.4,"143,481",12.2
218,HUMAN,5,4,0.2,"236,273",20.1
219,CONSISTENT,5,4,1.5,"38,620",3.3
220,INTERNAL,5,3,1.3,"45,267",3.8
221,HOMELESS,5,3,2.9,"20,240",1.7
222,DOUBLE,5,3,1.6,"35,778",3
223,DEAD,5,3,0.4,"167,148",14.2
224,SCENIC,5,3,16.3,"3,605",0.3
225,ULTIMATE,5,3,2.1,"27,976",2.4
226,CULINARY,5,2,11.4,"5,155",0.4
227,OFF-STREET,5,1,571.9,103,0
228,NUCLEAR,5,1,0.7,"79,467",6.7
229,FINANCIAL-AID,5,1,460.2,128,0
230,TANGY,5,1,59.3,994,0.1
231,VETERAN,4,4,4.3,"11,035",0.9
232,INTERESTED,4,4,0.6,"77,651",6.6
233,HONEST,4,4,1,"47,133",4
234,LONGTIME,4,4,3.3,"14,437",1.2
235,LOOSE,4,4,2,"24,153",2.1
236,GUILTY,4,4,1,"45,423",3.9
237,LEADING,4,4,1.5,"32,286",2.7
238,FUNDAMENTAL,4,4,1.5,"32,342",2.7
239,NEGATIVE,4,4,0.7,"64,644",5.5
240,NEARBY,4,4,1.9,"24,517",2.1
241,NERVOUS,4,4,1.4,"33,754",2.9
242,NORMAL,4,4,0.6,"82,095",7
243,NORTHERN,4,4,1.1,"43,817",3.7
244,OUTDOOR,4,4,3.1,"15,003",1.3
245,PLEASED,4,4,2.5,"18,830",1.6
246,POSITIVE,4,4,0.5,"92,281",7.8
247,TRADITIONAL,4,4,0.6,"80,473",6.8
248,TIGHT,4,4,2.3,"20,429",1.7
249,SECRET,4,4,1.1,"44,852",3.8
250,SUBSTANTIAL,4,4,1.8,"26,523",2.3
251,STEADY,4,4,2.2,"21,743",1.8
252,SLOW,4,4,1,"45,454",3.9
253,SOFT,4,4,1,"47,536",4
254,SAD,4,4,0.9,"51,791",4.4
255,BOTTOM,4,4,1.7,"28,112",2.4
256,ADDITIONAL,4,4,0.6,"72,549",6.2
257,CONSECUTIVE,4,4,3.9,"12,060",1
258,COMMERCIAL,4,4,0.7,"68,835",5.8
259,EXCITED,4,4,1.6,"29,464",2.5
260,DIVERSE,4,4,1.9,"25,278",2.1
261,FAMOUS,4,4,0.9,"53,593",4.5
262,ELABORATE,4,4,5,"9,490",0.8
263,FAIR,4,4,0.6,"76,229",6.5
264,FIRST-ROUND,4,4,14.5,"3,256",0.3
265,FLAT,4,4,1.9,"24,712",2.1
266,GREEN,4,4,0.5,"94,003",8
267,FIRST-YEAR,4,3,18.1,"2,601",0.2
268,FALSE,4,3,1.2,"40,948",3.5
269,DEADLY,4,3,2.7,"17,527",1.5
270,CRITICAL,4,3,0.6,"77,033",6.5
271,ENVIRONMENTAL,4,3,0.6,"80,344",6.8
272,COMPETITIVE,4,3,1.6,"29,738",2.5
273,CONTINUING,4,3,3.3,"14,323",1.2
274,ACCESSIBLE,4,3,2.8,"16,763",1.4
275,SEPARATE,4,3,1.1,"41,181",3.5
276,BLACK,4,3,0.2,"292,540",24.8
277,THIN,4,3,1.2,"39,655",3.4
278,REASONABLE,4,3,1.3,"36,633",3.1
279,RANKED,4,3,23.4,"2,017",0.2
280,PERMANENT,4,3,1.7,"28,349",2.4
281,OVERALL,4,3,1.1,"43,388",3.7
282,ORANGE,4,3,2,"23,095",2
283,NONPROFIT,4,3,3.3,"14,291",1.2
284,NONSTOP,4,3,30.7,"1,537",0.1
285,LIKE,4,3,0.7,"72,030",6.1
286,GROWING,4,3,0.9,"52,668",4.5
287,RETAIL,4,3,2.4,"19,420",1.6
288,MUTUAL,4,3,2.3,"20,627",1.8
289,LEGENDARY,4,2,4.4,"10,619",0.9
290,MEDICAL,4,2,0.3,"136,518",11.6
291,MONTHLY,4,2,2.4,"19,415",1.6
292,RAW,4,2,1.7,"27,525",2.3
293,RESIDENTIAL,4,2,3.4,"14,037",1.2
294,RULING,4,2,5.9,"7,940",0.7
295,DARK,4,2,0.5,"92,201",7.8
296,CRISPY,4,2,21.8,"2,162",0.2
297,DIRTY,4,2,1.6,"29,051",2.5
298,GRILLED,4,2,9.1,"5,155",0.4
299,TWO-YEAR,4,2,7.3,"6,423",0.5
300,FAB,4,1,31,"1,519",0.1
301,SEASONED,4,1,10.4,"4,519",0.4
302,CORROSIVE,4,1,37.5,"1,257",0.1
303,MORAL,3,3,0.6,"57,791",4.9
304,MOBILE,3,3,1.4,"25,099",2.1
305,MODERN,3,3,0.4,"83,986",7.1
306,HEAD,3,3,3.1,"11,457",1
307,ILL,3,3,3,"11,736",1
308,IMMEDIATE,3,3,1,"33,750",2.9
309,INTELLIGENT,3,3,1.7,"20,707",1.8
310,INTENDED,3,3,7.5,"4,742",0.4
311,INTENSE,3,3,1.2,"28,706",2.4
312,INJURED,3,3,3.8,"9,189",0.8
313,HELPFUL,3,3,1.2,"29,717",2.5
314,INCREDIBLE,3,3,1.1,"31,994",2.7
315,INCREASED,3,3,0.9,"41,363",3.5
316,INEXPENSIVE,3,3,5.1,"6,910",0.6
317,RISKY,3,3,3.3,"10,692",0.9
318,PURE,3,3,1.1,"32,770",2.8
319,PROPER,3,3,0.8,"41,814",3.5
320,PRELIMINARY,3,3,3,"11,621",1
321,POOR,3,3,0.3,"121,346",10.3
322,POLITICAL,3,3,0.1,"279,466",23.7
323,ONGOING,3,3,1.3,"26,358",2.2
324,ORGANIC,3,3,1.4,"25,290",2.1
325,OVERWHELMING,3,3,2,"17,701",1.5
326,OBVIOUS,3,3,0.6,"56,717",4.8
327,OFF,3,3,4.6,"7,709",0.7
328,NEIGHBORING,3,3,3.6,"9,703",0.8
329,FULL-TIME,3,3,2.5,"14,406",1.2
330,GENEROUS,3,3,2.2,"16,095",1.4
331,PRETTY,3,3,0.9,"38,712",3.3
332,POTENT,3,3,5.4,"6,519",0.6
333,FORTUNATE,3,3,3.3,"10,694",0.9
334,FAMED,3,3,8.3,"4,283",0.4
335,DELICIOUS,3,3,2.3,"15,507",1.3
336,EXTENDED,3,3,2.4,"14,791",1.3
337,EXCELLENT,3,3,0.8,"46,860",4
338,ENCOURAGING,3,3,2.7,"12,928",1.1
339,COMPLICATED,3,3,1.2,"29,354",2.5
340,CHARMING,3,3,3.1,"11,418",1
341,COLORFUL,3,3,3.3,"10,736",0.9
342,ADMINISTRATIVE,3,3,1.9,"18,864",1.6
343,ADVANCED,3,3,1.3,"27,570",2.3
344,ADVENTUROUS,3,3,12.6,"2,804",0.2
345,ADVISORY,3,3,3.4,"10,320",0.9
346,ACCEPTABLE,3,3,1.7,"20,624",1.8
347,COMMITTED,3,3,4.7,"7,503",0.6
348,COMPARABLE,3,3,3,"11,750",1
349,AMPLE,3,3,5.3,"6,613",0.6
350,APPROPRIATE,3,3,0.6,"57,178",4.9
351,AFFORDABLE,3,3,2.1,"16,868",1.4
352,AMAZED,3,3,4.4,"8,049",0.7
353,BRIEF,3,3,1.1,"32,409",2.8
354,BLUE,3,3,0.3,"102,273",8.7
355,CAREER-HIGH,3,3,34.2,"1,033",0.1
356,BELOVED,3,3,2.6,"13,855",1.2
357,SMOKY,3,3,12.9,"2,739",0.2
358,STUNNING,3,3,3,"11,935",1
359,SILLY,3,3,1.5,"23,505",2
360,SCARY,3,3,1.7,"21,368",1.8
361,TEMPORARY,3,3,1.6,"22,206",1.9
362,TOTAL,3,3,0.4,"91,100",7.7
363,TREMENDOUS,3,3,1.6,"21,833",1.9
364,UNEXPECTED,3,3,2,"17,965",1.5
365,VARIOUS,3,3,0.4,"99,839",8.5
366,UNPAID,3,3,9.1,"3,884",0.3
367,WELL,3,3,1.1,"32,196",2.7
368,WINNING,3,3,3.3,"10,720",0.9
369,WRITTEN,3,3,1.9,"18,339",1.6
370,WISE,3,2,1.6,"21,713",1.8
371,TROPICAL,3,2,2.8,"12,675",1.1
372,UNDERSIZED,3,2,58.6,603,0.1
373,UNCOMFORTABLE,3,2,1.7,"20,234",1.7
374,UNHERALDED,3,2,89,397,0
375,SURPRISING,3,2,1.4,"25,120",2.1
376,SCORELESS,3,2,29.8,"1,188",0.1
377,SILENT,3,2,1,"33,978",2.9
378,SHAKY,3,2,8,"4,418",0.4
379,THICK,3,2,1,"35,625",3
380,TARGETED,3,2,9.1,"3,892",0.3
381,STURDY,3,2,7,"5,042",0.4
382,SECOND-ROUND,3,2,29.2,"1,209",0.1
383,SPICY,3,2,7.2,"4,913",0.4
384,CAREFUL,3,2,0.7,"47,856",4.1
385,AUTHENTIC,3,2,3,"11,595",1
386,AWARD-WINNING,3,2,7.4,"4,803",0.4
387,BRIGHT,3,2,0.7,"49,968",4.2
388,ASLEEP,3,2,1.4,"24,858",2.1
389,ACCOMPANYING,3,2,6.1,"5,810",0.5
390,CIVIL,3,2,0.4,"82,568",7
391,CLASSIC,3,2,1.2,"29,034",2.5
392,AGING,3,2,4.2,"8,465",0.7
393,CORPORATE,3,2,0.7,"51,721",4.4
394,CRAFTY,3,2,26,"1,357",0.1
395,DRIED,3,2,3.6,"9,891",0.8
396,CURIOUS,3,2,1.3,"26,480",2.2
397,FORECLOSED,3,2,60,589,0
398,GENETIC,3,2,1.3,"28,032",2.4
399,FLORAL,3,2,9.7,"3,659",0.3
