index,word,freq,# texts,freq/texts,entire corpus,expected
128,FALSE,9,3,2.9,"40,948",3.1
129,DIM,9,2,17.8,"6,617",0.5
130,PERIPHERAL,9,2,25.4,"4,623",0.4
131,AUTONOMIC,9,2,235.3,500,0
132,CRITICAL,8,6,1.4,"77,033",5.9
133,CLOSE,8,6,1,"103,571",7.9
134,CONSTANT,8,6,3.2,"33,094",2.5
135,POLITICAL,8,6,0.4,"279,466",21.4
136,CHEAP,8,5,3.1,"33,590",2.6
137,ACTIVE,8,5,1.8,"58,820",4.5
138,CULTURAL,8,5,1.3,"78,044",6
139,DOMESTIC,8,5,2.2,"47,538",3.6
140,HOT,8,5,0.9,"118,273",9
141,RAPID,8,4,5.1,"20,509",1.6
142,EXISTING,8,4,2.6,"39,976",3.1
143,COMPLETE,8,4,1.6,"66,193",5.1
144,WHITE,8,4,0.4,"250,728",19.2
145,BIOLOGICAL,8,4,4,"26,437",2
146,POWERFUL,8,4,1.4,"76,774",5.9
147,OPPOSITE,8,4,3.2,"32,435",2.5
148,MILITARY,8,4,0.6,"163,623",12.5
149,NORTHERN,8,3,2.4,"43,817",3.4
150,SENSORY,8,3,20.1,"5,212",0.4
151,BLIND,8,3,3.6,"29,271",2.2
152,WEAK,8,3,2.9,"36,425",2.8
153,UNLIKELY,8,3,3.8,"27,364",2.1
154,FEASIBLE,8,3,18,"5,815",0.4
155,ECONOMIC,8,3,0.6,"172,174",13.2
156,EFFICIENT,8,3,4.3,"24,530",1.9
157,PRODUCTIVE,8,3,6,"17,316",1.3
158,GREEN,8,3,1.1,"94,003",7.2
159,PHILOSOPHICAL,8,2,8.5,"12,321",0.9
160,MEAN,8,2,2.6,"39,871",3.1
161,SELECTED,8,1,9.6,"10,936",0.8
162,POTENTIAL,7,6,1.2,"75,845",5.8
163,PAST,7,6,0.7,"128,868",9.9
164,CONSISTENT,7,6,2.4,"38,620",3
165,BEAUTIFUL,7,6,0.8,"120,698",9.2
166,RARE,7,5,2.2,"42,482",3.2
167,HARD,7,5,0.5,"198,423",15.2
168,INTERESTING,7,5,0.8,"116,820",8.9
169,SERIOUS,7,5,0.7,"122,280",9.4
170,SPECIALIZED,7,4,10.6,"8,627",0.7
171,LONG-TERM,7,4,2.1,"42,779",3.3
172,FAMILIAR,7,4,1.7,"54,667",4.2
173,VISIBLE,7,4,3.2,"28,891",2.2
174,NATURAL,7,4,0.7,"123,819",9.5
175,WRONG,7,3,0.4,"206,966",15.8
176,EXTREME,7,3,2.6,"34,693",2.7
177,ABNORMAL,7,3,18.9,"4,844",0.4
178,BLACK,7,3,0.3,"292,540",22.4
179,WARM,7,3,1.8,"51,618",3.9
180,EASTERN,7,3,2,"46,106",3.5
181,POOR,7,3,0.8,"121,346",9.3
182,MINOR,7,3,3.1,"29,191",2.2
183,DUAL-PURPOSE,7,1,994.6,92,0
184,LITTLE,6,6,0.2,"404,038",30.9
185,RICH,6,5,1,"78,074",6
186,REMARKABLE,6,5,3.3,"23,943",1.8
187,SCIENTIFIC,6,5,1.4,"57,552",4.4
188,INDIVIDUAL,6,5,0.9,"89,715",6.9
189,OVERALL,6,5,1.8,"43,388",3.3
190,ONLINE,6,5,1.3,"58,878",4.5
191,INITIAL,6,5,1.8,"42,973",3.3
192,TOXIC,6,5,5.2,"15,108",1.2
193,THICK,6,5,2.2,"35,625",2.7
194,FREQUENT,6,5,4.2,"18,557",1.4
195,IMPOSSIBLE,6,5,1.4,"57,931",4.4
196,COMPREHENSIVE,6,5,3.2,"24,556",1.9
197,ALTERNATIVE,6,4,2.8,"28,291",2.2
198,ESSENTIAL,6,4,1.9,"42,233",3.2
199,FUTURE,6,4,1,"77,704",5.9
200,THIN,6,4,2,"39,655",3
201,TOP,6,4,0.8,"97,141",7.4
202,INDEPENDENT,6,4,1.2,"63,668",4.9
203,LIMITED,6,4,1.9,"42,140",3.2
204,SEASONAL,6,3,10.3,"7,600",0.6
205,AVERAGE,6,3,1.2,"67,634",5.2
206,VOLCANIC,6,3,18.5,"4,233",0.3
207,CONVENTIONAL,6,3,3.2,"24,660",1.9
208,CRANIAL,6,3,92.5,848,0.1
209,FAMOUS,6,3,1.5,"53,593",4.1
210,REGIONAL,6,3,1.9,"41,660",3.2
211,ELECTRICAL,6,3,5.2,"15,226",1.2
212,CONSIDERABLE,6,3,3.9,"20,048",1.5
213,COARSE,6,2,20.3,"3,857",0.3
214,ELECTROMAGNETIC,6,2,24.7,"3,177",0.2
215,HEAVY,6,2,1.1,"69,911",5.3
216,VALID,6,2,4.2,"18,686",1.4
217,VARIABLE,6,2,14.3,"5,480",0.4
218,AUDIO,6,2,7,"11,230",0.9
219,BRIGHT,6,2,1.6,"49,968",3.8
220,TEMPERATE,6,2,40.9,"1,916",0.1
221,SECONDARY,6,2,3.8,"20,705",1.6
222,RESISTANT,6,2,12,"6,520",0.5
223,RETINAL,6,1,70.9,"1,106",0.1
224,RADIOACTIVE,6,1,14.4,"5,440",0.4
225,SEEDING,6,1,659.1,119,0
226,CLIMATIC,6,1,38.9,"2,015",0.2
227,PSYCHOACTIVE,6,1,188.5,416,0
228,NATIONAL,5,5,0.2,"322,006",24.6
229,MULTIPLE,5,5,1.1,"61,696",4.7
230,SMOOTH,5,5,2.6,"24,696",1.9
231,STRUCTURAL,5,5,4,"16,140",1.2
232,FASCINATING,5,5,3.6,"18,202",1.4
233,CONCERNED,5,5,0.9,"72,339",5.5
234,TECHNICAL,5,4,1.7,"38,895",3
235,UNIQUE,5,4,1.2,"54,836",4.2
236,FEMALE,5,4,1.1,"60,134",4.6
237,DISTINCT,5,4,3.2,"20,706",1.6
238,EXCITING,5,4,2.3,"28,996",2.2
239,TINY,5,4,1.1,"58,055",4.4
240,MALE,5,4,1.3,"51,492",3.9
241,ONGOING,5,4,2.5,"26,358",2
242,LEGISLATIVE,5,3,3.3,"19,625",1.5
243,KEY,5,3,0.8,"84,246",6.4
244,INTERNAL,5,3,1.4,"45,267",3.5
245,STABLE,5,3,2.7,"24,521",1.9
246,RELIABLE,5,3,3.4,"19,407",1.5
247,SUFFICIENT,5,3,2.7,"23,904",1.8
248,ELECTRONIC,5,3,2.2,"29,072",2.2
249,DANGEROUS,5,3,1,"64,085",4.9
250,DEEP,5,3,0.9,"73,118",5.6
251,EXTENDED,5,2,4.4,"14,791",1.1
252,TALL,5,2,1.6,"39,644",3
253,SUPPLEMENTAL,5,2,14.4,"4,539",0.3
254,UPPER,5,2,1.7,"37,487",2.9
255,REMAINING,5,2,2.1,"31,408",2.4
256,PRECIOUS,5,2,3.6,"18,021",1.4
257,MAXIMUM,5,2,3.5,"18,772",1.4
258,RESPONSIVE,5,2,9.8,"6,683",0.5
259,NUMEROUS,5,2,1.9,"35,168",2.7
260,MONOECIOUS,5,1,"1,922.40",34,0
261,SEISMIC,5,1,24.5,"2,664",0.2
262,IRRIGATED,5,1,114.5,571,0
263,POSTAL,5,1,10.5,"6,206",0.5
264,FROST-FREE,5,1,895.4,73,0
265,FINITE,5,1,14.5,"4,523",0.3
266,ASSUMED,5,1,45.8,"1,428",0.1
267,UNABLE,5,1,1.8,"36,308",2.8
268,ELDER,5,1,13.7,"4,768",0.4
269,CARDIAC,5,1,11.9,"5,507",0.4
270,COOL,5,1,0.8,"83,479",6.4
271,TYPICAL,4,4,1.3,"40,790",3.1
272,VICE,4,4,1.5,"34,681",2.7
273,AWARE,4,4,0.8,"63,495",4.9
274,BRIEF,4,4,1.6,"32,409",2.5
275,ANTERIOR,4,4,20.7,"2,523",0.2
276,EXTERNAL,4,4,2.1,"25,150",1.9
277,FRESH,4,4,0.7,"75,629",5.8
278,HISTORICAL,4,4,1,"55,033",4.2
279,SOCIAL,4,4,0.2,"290,422",22.2
280,RESULTING,4,4,5.3,"9,780",0.7
281,INTERESTED,4,4,0.7,"77,651",5.9
282,INNOVATIVE,4,4,3.7,"14,152",1.1
283,MATURE,4,4,5.1,"10,251",0.8
284,MILD,4,4,4,"13,170",1
285,NEGATIVE,4,4,0.8,"64,644",4.9
286,MINIMAL,4,3,3.9,"13,555",1
287,HONEST,4,3,1.1,"47,133",3.6
288,RELEVANT,4,3,1.4,"38,038",2.9
289,RESPONSIBLE,4,3,0.8,"67,349",5.2
290,SPATIAL,4,3,5.4,"9,711",0.7
291,SOLUBLE,4,3,48.3,"1,082",0.1
292,REMOTE,4,3,2.2,"23,567",1.8
293,RED,4,3,0.4,"143,481",11
294,POISONOUS,4,3,15.7,"3,328",0.3
295,EQUAL,4,3,1.1,"48,531",3.7
296,DEVELOPING,4,3,2,"26,335",2
297,CONTEMPORARY,4,3,1.6,"33,488",2.6
298,CONTINUOUS,4,3,3.3,"15,759",1.2
299,CHANGING,4,3,2.7,"19,262",1.5
300,APPROPRIATE,4,3,0.9,"57,178",4.4
