index,word,freq,# texts,freq/texts,entire corpus,expected
132,BORING,19,17,2.2,"9,809",8.5
133,NATURAL,19,16,1.5,"14,367",12.4
134,FROZEN,19,16,6.2,"3,577",3.1
135,WARM,19,16,1.8,"11,933",10.3
136,EXTRA,19,15,1.2,"19,053",16.4
137,FABULOUS,19,14,4.8,"4,572",3.9
138,CRUEL,19,14,4.9,"4,509",3.9
139,FAKE,19,13,1.7,"12,775",11
140,BUSY,18,18,0.7,"30,511",26.3
141,LIVING,18,15,2.4,"8,818",7.6
142,FELLOW,18,15,4,"5,245",4.5
143,EXACT,18,14,2.1,"9,871",8.5
144,OPEN,18,14,0.7,"31,968",27.6
145,FANCY,18,13,3.1,"6,802",5.9
146,ASHAMED,18,12,3.3,"6,343",5.5
147,HEALTHY,18,7,2.3,"9,246",8
148,JEALOUS,17,15,1.6,"12,709",11
149,LOVELY,17,15,0.7,"28,153",24.3
150,QUICK,17,15,0.7,"29,188",25.2
151,SHORT,17,15,0.8,"23,738",20.5
152,WILD,17,15,1.4,"14,286",12.3
153,TALL,17,14,2.2,"8,997",7.8
154,SCIENTIFIC,17,14,3.9,"5,005",4.3
155,ADORABLE,17,14,4.9,"4,039",3.5
156,LOST,17,14,1.9,"10,143",8.7
157,POPULAR,17,11,2.5,"7,781",6.7
158,GUILTY,17,9,0.9,"21,083",18.2
159,TOTAL,16,14,1.6,"11,516",9.9
160,PURE,16,14,2.6,"7,068",6.1
161,INTERESTED,16,14,0.7,"25,946",22.4
162,HEAVY,16,14,1.4,"13,525",11.7
163,FAR,16,14,4.5,"4,120",3.6
164,BLIND,16,13,1.6,"11,705",10.1
165,VERY,16,13,1.1,"17,012",14.7
166,GRAND,16,12,1,"18,687",16.1
167,DEEP,16,12,1.4,"13,156",11.3
168,DEADLY,16,10,4.1,"4,564",3.9
169,MAGIC,16,10,1.8,"10,428",9
170,MISSING,16,7,1.3,"14,776",12.7
171,LEFT,15,15,0.7,"25,640",22.1
172,HIDEOUS,15,14,9,"1,925",1.7
173,OBVIOUS,15,14,1.5,"11,929",10.3
174,REGULAR,15,13,1.6,"10,770",9.3
175,RIDICULOUS,15,13,0.9,"18,691",16.1
176,HONEST,15,12,0.7,"26,476",22.8
177,LIVE,15,12,1.6,"10,905",9.4
