index,word,freq,# texts,freq/texts,entire corpus,expected
135,NOSE,4,4,2.7,"16,072",1.5
136,HEART,4,4,0.6,"73,450",6.9
137,LUCK,4,3,1,"42,939",4
138,FREAK,4,3,7.5,"5,686",0.5
139,GRADE,4,3,5.6,"7,582",0.7
140,BREATHER,4,3,78,547,0.1
141,ASSEMBLY,4,3,25.6,"1,667",0.2
142,ENERGY,4,3,2,"20,861",2
143,BOYFRIEND,4,3,1.6,"27,165",2.5
144,BOOK,4,3,0.9,"49,589",4.7
145,CRAP,4,3,1.9,"22,886",2.1
146,CREEP,4,3,22.8,"1,869",0.2
147,SEARCH,4,3,3.2,"13,271",1.2
148,WOOD,4,3,5.2,"8,260",0.8
149,TRAITOR,4,3,10.5,"4,060",0.4
150,WORK,4,3,0.3,"124,958",11.7
151,TANK,4,2,5.8,"7,308",0.7
152,STATE,4,2,1.4,"31,352",2.9
153,STORM,4,2,4.3,"9,847",0.9
154,CAMPAIGN,4,2,4.5,"9,538",0.9
155,ACCIDENT,4,2,1.6,"27,186",2.5
156,BATH,4,2,5.6,"7,557",0.7
157,HOLE,4,2,2.2,"19,341",1.8
158,FIREBALL,4,2,61.2,697,0.1
159,IDIOT,4,2,2.3,"18,560",1.7
160,HUNTING,4,2,7.2,"5,907",0.6
161,KITCHEN,4,2,1.8,"23,282",2.2
162,DRAWING,4,1,18.4,"2,316",0.2
163,ROCK,4,1,1.9,"21,899",2.1
164,JOKE,3,3,1.6,"20,126",1.9
165,HOSPITAL,3,3,0.7,"43,676",4.1
166,LIAR,3,3,3.3,"9,551",0.9
167,PACK,3,3,4.8,"6,642",0.6
168,MIX,3,3,11.2,"2,850",0.3
169,MILE,3,3,4.7,"6,864",0.6
170,POOL,3,3,2.3,"14,179",1.3
171,ASS,3,3,0.8,"41,475",3.9
172,BAG,3,3,1.1,"29,805",2.8
173,BATTERY,3,3,7.6,"4,214",0.4
174,BULLSHIT,3,3,3.1,"10,376",1
175,CASE,3,3,0.3,"91,862",8.6
176,OFFICE,3,3,0.4,"73,178",6.9
177,BUDDY,3,3,1,"33,249",3.1
178,DOG,3,3,0.7,"45,427",4.3
179,DICK,3,3,2.3,"13,886",1.3
180,CHILD,3,3,0.7,"48,939",4.6
181,CHILL,3,3,12.4,"2,570",0.2
182,SEC,3,3,4.7,"6,824",0.6
183,ROAD,3,3,0.9,"34,923",3.3
184,REASON,3,3,0.5,"66,949",6.3
185,SLUT,3,3,10.9,"2,930",0.3
186,THANKS,3,3,0.2,"171,004",16
187,THEORY,3,3,2.1,"15,035",1.4
188,THOUGHT,3,3,1.1,"28,502",2.7
189,TOP,3,3,1.2,"26,968",2.5
190,TOWN,3,3,0.5,"59,975",5.6
191,STICK,3,3,4.4,"7,290",0.7
192,SUN,3,2,1.4,"23,032",2.2
193,STUDY,3,2,3.8,"8,325",0.8
194,STEP,3,2,1.9,"16,793",1.6
195,TOOTH,3,2,7.7,"4,156",0.4
196,SHOW,3,2,0.6,"54,770",5.1
197,TAPE,3,2,2,"15,940",1.5
198,REST,3,2,0.6,"54,723",5.1
199,SALT,3,2,4.9,"6,488",0.6
200,RULE,3,2,3,"10,578",1
201,CITY,3,2,0.5,"62,047",5.8
202,CLASS,3,2,1,"31,261",2.9
203,COLLEGE,3,2,1.3,"25,086",2.4
204,VAN,3,2,1.7,"18,478",1.7
205,DIRECTION,3,2,3.2,"9,857",0.9
206,FACT,3,2,0.6,"57,182",5.4
207,END,3,2,0.5,"66,263",6.2
208,FAVOR,3,2,1.7,"18,843",1.8
209,EDGE,3,2,3.1,"10,227",1
210,EMERGENCY,3,2,1.8,"17,435",1.6
211,OFFICER,3,2,0.9,"35,233",3.3
212,BREAK,3,2,1.4,"22,753",2.1
213,BREAKFAST,3,2,1.9,"16,786",1.6
214,PRINCESS,3,2,3,"10,559",1
215,PSYCHO,3,2,9.5,"3,362",0.3
216,ADULT,3,2,4.7,"6,847",0.6
217,APOLOGY,3,2,4.5,"7,065",0.7
218,NEEDLE,3,2,7.3,"4,366",0.4
219,PIECE,3,2,0.8,"38,854",3.6
220,PERSON,3,2,0.4,"85,155",8
221,HIPPIE,3,2,34,940,0.1
222,GOVERNMENT,3,2,1.3,"24,018",2.3
223,FINGER,3,2,2.8,"11,492",1.1
224,LOVE,3,2,0.3,"96,536",9.1
225,LOSER,3,2,4.6,"6,980",0.7
226,ICE,3,2,1.1,"27,909",2.6
227,MAGNET,3,1,21,"1,526",0.1
228,PRANK,3,1,12.8,"2,498",0.2
229,CASSEROLE,3,1,45,711,0.1
230,DEER,3,1,12.5,"2,562",0.2
231,COPY,3,1,3.8,"8,423",0.8
232,CHOCOLATE,3,1,3.2,"10,131",1
233,COMMUNITY,3,1,2.4,"13,455",1.3
234,SCREW-UP,3,1,70.1,456,0
235,STORY,2,2,0.3,"71,100",6.7
236,TABLE,2,2,0.7,"31,297",2.9
237,THOUSAND,2,2,1.4,"15,014",1.4
238,THROAT,2,2,2.4,"8,904",0.8
239,THROW,2,2,12.1,"1,766",0.2
240,TEACHER,2,2,1.6,"13,739",1.3
241,SWEETHEART,2,2,1.3,"17,051",1.6
242,SHIFT,2,2,3,"7,110",0.7
243,SHACK,2,2,13.3,"1,607",0.2
244,SHADOW,2,2,3.4,"6,267",0.6
245,SLEEP,2,2,1.2,"18,144",1.7
246,SLEEPING,2,2,7.7,"2,766",0.3
247,UNIVERSE,2,2,1.2,"17,107",1.6
248,REPORTER,2,2,3.1,"6,799",0.6
249,TROLL,2,2,18,"1,185",0.1
250,TRACK,2,2,1.6,"13,488",1.3
251,TRAGEDY,2,2,5,"4,288",0.4
252,WEEKEND,2,2,1.1,"20,014",1.9
253,WEST,2,2,1.1,"18,994",1.8
254,WHILE,2,2,0.5,"39,344",3.7
255,COMMIE,2,2,83.6,255,0
256,CHICKEN,2,2,1.2,"17,388",1.6
257,CONTACT,2,2,1.4,"15,743",1.5
258,CHOICE,2,2,0.5,"40,482",3.8
259,COUCH,2,2,2.5,"8,649",0.8
260,WIFE,2,2,0.2,"97,964",9.2
261,CUT,2,2,2.8,"7,661",0.7
262,DARKNESS,2,2,3.3,"6,549",0.6
