Index,word,word freq,texts,freq/texts,entire corp,expected
132,PATIENT,23,6,6.3,"48,037",3.7
133,ERUPTION,23,4,107,"2,811",0.2
134,EAST,23,4,2.7,"110,641",8.5
135,HUNDRED,23,4,8.2,"36,665",2.8
136,REIGN,23,1,50.2,"5,992",0.5
137,SUMMER,22,10,2.4,"121,977",9.3
138,WEEK,22,10,0.9,"326,603",25
139,SIZE,22,9,2.9,"100,534",7.7
140,CENTURY,22,8,2.8,"104,179",8
141,SOUND,22,7,3.1,"93,630",7.2
142,VISION,22,6,4.8,"59,805",4.6
143,SIGNAL,22,5,11,"26,135",2
144,CONTROL,22,5,1.6,"184,719",14.1
145,DRUG,22,4,2.9,"99,549",7.6
146,COORDINATE,22,2,280,"1,027",0.1
147,LAVA,22,2,72.5,"3,968",0.3
148,COMMUNITY,21,13,1.2,"233,660",17.9
149,INTEREST,21,12,1.9,"145,464",11.1
150,FORM,21,11,2.2,"123,828",9.5
151,CLASS,21,8,1.6,"168,845",12.9
152,RESOURCE,21,8,11.6,"23,597",1.8
153,CARE,21,7,1.2,"236,529",18.1
154,CONTENT,21,6,4.1,"66,616",5.1
155,SEASON,21,3,1.4,"190,115",14.5
156,HISTORY,20,7,1,"253,522",19.4
157,WINTER,20,6,4.5,"58,452",4.5
158,OBJECT,20,4,7.4,"35,489",2.7
159,PHONE,20,4,1.5,"171,978",13.2
160,ARM,20,4,3.7,"71,392",5.5
161,FLOW,20,4,7.7,"34,094",2.6
162,WEB,20,3,3.1,"84,565",6.5
163,GROWER,20,1,227.3,"1,150",0.1
164,EXPERIENCE,19,12,1.4,"178,596",13.7
165,HEART,19,8,1.3,"193,101",14.8
166,RESEARCHER,19,8,17.8,"13,946",1.1
167,TOPIC,19,7,6.8,"36,475",2.8
168,GROWTH,19,6,2.3,"109,117",8.3
169,THOUSAND,19,5,8.9,"28,010",2.1
170,READER,19,4,6.7,"36,797",2.8
171,SPACE,19,3,1.6,"160,165",12.3
172,TEXTILE,19,2,74.3,"3,345",0.3
173,CORE,19,2,5,"49,779",3.8
174,STALK,19,1,183.7,"1,352",0.1
175,EFFORT,18,11,2.4,"98,026",7.5
176,DEATH,18,8,1.1,"207,442",15.9
177,MINUTE,18,7,2.6,"91,857",7
178,METHOD,18,7,4.3,"54,913",4.2
179,DISTANCE,18,6,4.1,"57,664",4.4
180,SCHOOL,18,6,0.4,"526,415",40.3
181,INCH,18,5,14.2,"16,626",1.3
182,IMAGE,18,4,2.5,"95,763",7.3
183,RESOLUTION,18,4,7.3,"32,040",2.5
184,CITY,18,4,0.6,"374,239",28.6
185,LANGUAGE,18,4,2,"119,866",9.2
186,AXON,18,3,471.5,499,0
187,PICTURE,18,3,2.3,"103,091",7.9
188,IRRIGATION,18,2,46.8,"5,026",0.4
189,STAR,18,2,2.4,"98,970",7.6
190,TON,18,1,21.8,"10,814",0.8
191,TERRITORY,18,1,9,"26,219",2
192,VEGETATION,18,1,38.3,"6,138",0.5
193,MOISTURE,18,1,28.5,"8,269",0.6
194,FRONTIER,18,1,26.5,"8,874",0.7
195,PRESSURE,17,9,2.5,"90,694",6.9
196,ENERGY,17,9,1.4,"160,131",12.2
197,APPLICATION,17,9,5.4,"41,428",3.2
198,ARTICLE,17,8,1.6,"134,739",10.3
199,FAMILY,17,8,0.5,"440,189",33.7
200,PRACTICE,17,8,1.8,"121,698",9.3
201,UNIT,17,7,4.3,"51,348",3.9
202,DISEASE,17,6,2.5,"88,754",6.8
203,PLAN,17,5,1.4,"159,698",12.2
204,CAPITAL,17,3,3,"72,977",5.6
205,NOTE,17,3,3.2,"69,604",5.3
206,TROOP,17,2,37.3,"5,961",0.5
207,SAMPLE,17,2,4.8,"46,289",3.5
208,ECSTASY,17,1,64.1,"3,465",0.3
209,CORN,17,1,8.4,"26,372",2
210,CHEST,17,1,5.2,"42,994",3.3
211,HARVEST,17,1,24.7,"8,984",0.7
212,KIND,16,12,0.7,"315,906",24.2
213,QUESTION,16,12,0.7,"281,161",21.5
214,DEMAND,16,8,5.4,"38,722",3
215,EXAMPLE,16,7,2.5,"85,350",6.5
216,FOOT,16,7,3.5,"59,448",4.5
217,FIGURE,16,7,2,"102,996",7.9
218,FACILITY,16,6,6.5,"32,018",2.4
219,MOTION,16,6,5.8,"35,893",2.7
220,LAW,16,6,0.8,"276,508",21.2
221,WORD,16,5,1.1,"190,287",14.6
222,SOUTH,16,5,1.7,"120,957",9.3
223,SCENE,16,4,2.3,"89,976",6.9
224,REPORT,16,4,1.5,"142,027",10.9
225,RAINFALL,16,2,50.4,"4,146",0.3
226,HOUSEHOLD,16,2,8,"26,305",2
227,VICTIM,16,2,4.8,"43,173",3.3
228,ROUTE,16,1,6.8,"30,808",2.4
229,MOVEMENT,15,10,2.1,"95,035",7.3
230,AIR,15,10,0.9,"208,488",15.9
231,FACULTY,15,8,5.7,"34,653",2.7
232,GROUND,15,7,1.5,"134,886",10.3
233,LAB,15,7,6.2,"31,607",2.4
234,FACE,15,7,0.8,"234,109",17.9
235,LAND,15,6,1.6,"119,925",9.2
236,GOVERNMENT,15,6,0.5,"396,195",30.3
237,COLLEGE,15,5,1,"198,608",15.2
238,HAIR,15,5,1.4,"139,417",10.7
239,SHAPE,15,5,4.1,"47,394",3.6
240,MATTER,15,5,1.5,"130,383",10
241,WEIGHT,15,5,2.3,"85,980",6.6
242,VALUE,15,5,1.6,"120,970",9.3
243,STUDIO,15,4,5,"39,172",3
244,TISSUE,15,4,9.8,"20,055",1.5
245,STORAGE,15,3,7.3,"26,944",2.1
246,PAGE,15,3,1.9,"103,301",7.9
247,LENS,15,3,13.9,"14,071",1.1
248,EAR,15,3,6.4,"30,708",2.3
249,HOUSE,15,2,0.4,"494,171",37.8
250,UNIVERSE,15,2,4.2,"46,994",3.6
251,STRAW,15,2,18.6,"10,520",0.8
252,SPIDER,15,1,29.4,"6,675",0.5
253,WEED,15,1,27.3,"7,177",0.5
254,VARIABILITY,15,1,31.6,"6,199",0.5
255,KNOWLEDGE,14,9,1.6,"115,166",8.8
256,UNIVERSITY,14,8,0.7,"256,128",19.6
257,TERM,14,8,2,"92,938",7.1
258,WAVE,14,6,5.4,"33,844",2.6
259,COMMUNICATION,14,6,4.1,"44,929",3.4
260,ATTACK,14,5,2.3,"79,255",6.1
261,SCIENTIST,14,5,8.4,"21,897",1.7
262,METER,14,5,23.4,"7,814",0.6
263,MODEL,14,5,1.4,"131,318",10
264,OPINION,14,5,2.4,"76,416",5.8
265,LEARNING,14,5,2.7,"66,659",5.1
266,EQUIPMENT,14,4,3.6,"50,776",3.9
267,TRADE,14,4,2.1,"87,746",6.7
268,TREATMENT,14,4,1.8,"100,614",7.7
269,ACRE,14,4,45.9,"3,990",0.3
270,MARKET,14,3,1.1,"163,722",12.5
271,REACTION,14,3,4,"45,528",3.5
272,PROVIDER,14,3,14.9,"12,295",0.9
273,PRECIPITATION,14,2,48,"3,809",0.3
274,BROTHER,14,2,1.5,"118,580",9.1
275,APP,14,1,7.1,"25,711",2
276,PROFESSOR,13,11,2,"84,698",6.5
277,CAUSE,13,10,1.5,"113,272",8.7
278,RESPONSE,13,9,1.8,"96,453",7.4
279,SENSE,13,9,0.8,"216,578",16.6
280,SERIES,13,9,1.2,"140,218",10.7
281,MONTH,13,8,1.1,"149,575",11.4
282,BLOOD,13,8,1.2,"136,784",10.5
283,TEST,13,6,1.6,"104,145",8
284,PATTERN,13,6,4,"42,149",3.2
285,SUPPLY,13,5,4.7,"36,121",2.8
286,SPRING,13,5,2.5,"68,264",5.2
287,VIDEO,13,5,1.3,"130,654",10
288,REQUIREMENT,13,4,10.3,"16,441",1.3
289,MEMBRANE,13,4,36.4,"4,673",0.4
290,PROCEDURE,13,4,5.8,"29,323",2.2
291,CORD,13,3,17.7,"9,597",0.7
292,BOX,13,3,1.9,"90,402",6.9
293,MOUNTAIN,13,2,2.9,"58,016",4.4
294,TRIBUTE,13,1,17.4,"9,780",0.7
295,FACT,12,10,0.5,"347,727",26.6
296,SITE,12,9,1.2,"135,353",10.4
297,PUBLICATION,12,9,7.5,"20,998",1.6
298,EDUCATION,12,8,0.7,"230,317",17.6
299,ORGANIZATION,12,8,1.8,"89,080",6.8
300,FUNDING,12,6,3.7,"42,336",3.2
301,PORTION,12,6,5.7,"27,604",2.1
302,BACK,12,5,0.5,"290,753",22.2
303,ANALYSIS,12,5,1.4,"109,460",8.4
304,RESIDENCE,12,4,10.6,"14,736",1.1
305,FACTOR,12,4,2.8,"55,705",4.3
306,FLUID,12,4,13,"12,065",0.9
307,STEP,12,4,1.8,"88,053",6.7
308,TOOL,12,4,3.9,"39,962",3.1
309,MOTHER,12,3,0.5,"317,940",24.3
310,DISABILITY,12,3,8.7,"18,027",1.4
311,DENSITY,12,3,12.1,"13,001",1
312,COMPRESSION,12,2,34.9,"4,498",0.3
313,LEAF,12,2,12.5,"12,532",1
314,PEST,12,2,53.6,"2,928",0.2
315,CORDAGE,12,1,"2,704.60",58,0
316,TITLE,12,1,2.4,"64,818",5
317,INSTITUTION,11,10,4.7,"30,679",2.3
318,AGE,11,9,0.7,"196,748",15.1
319,DEVICE,11,7,3.3,"43,648",3.3
320,WEBSITE,11,7,2.8,"51,940",4
321,SURFACE,11,7,2,"72,258",5.5
322,TECHNIQUE,11,6,5.7,"25,272",1.9
323,STRUCTURE,11,6,2.3,"62,638",4.8
324,LENGTH,11,6,4.1,"35,413",2.7
325,HELP,11,6,1.2,"115,549",8.8
326,NATURE,11,6,1.1,"129,237",9.9
327,STANDARD,11,5,3.7,"39,329",3
328,MOLECULE,11,4,35.6,"4,036",0.3
329,ERROR,11,4,4.6,"31,143",2.4
330,ESTIMATE,11,4,11.6,"12,372",0.9
331,CONCEPT,11,4,2.7,"54,133",4.1
332,ADULT,11,4,3.3,"43,724",3.3
333,SCREEN,11,4,2.2,"64,575",4.9
334,EYEBALL,11,3,103.3,"1,392",0.1
335,BOARD,11,3,1.3,"109,762",8.4
336,CHARACTER,11,3,1.6,"92,097",7
337,OPTIC,11,3,93.3,"1,541",0.1
338,MISSION,11,3,2.1,"69,028",5.3
339,PLANNING,11,3,4.5,"32,290",2.5
340,SURGERY,11,3,3.4,"41,682",3.2
341,USER,11,3,4,"35,894",2.7
342,VENT,11,3,48.8,"2,949",0.2
343,TRUTH,11,3,1.1,"135,138",10.3
344,TRIAL,11,2,2,"72,690",5.6
345,TAPE,11,2,3.8,"37,358",2.9
346,TRANSLATION,11,1,10.3,"13,995",1.1
347,VELOCITY,11,1,20.7,"6,950",0.5
348,VOLCANOLOGIST,11,1,"2,567.70",56,0
349,BAST,11,1,"1,027.10",140,0
350,BREEDING,11,1,18.9,"7,620",0.6
351,GEOLOGY,11,1,53.7,"2,677",0.2
352,DEPARTMENT,10,9,0.8,"162,958",12.5
353,NATION,10,8,1,"132,695",10.2
354,IDEA,10,8,0.5,"264,810",20.3
355,ACTION,10,8,1,"137,466",10.5
356,BEHAVIOR,10,7,1.3,"103,117",7.9
357,LIST,10,7,1,"132,273",10.1
358,VIEW,10,6,1,"133,177",10.2
359,COMPANY,10,6,0.5,"285,479",21.8
360,PURPOSE,10,6,1.8,"70,842",5.4
361,REASON,10,5,0.6,"207,329",15.9
362,EVIDENCE,10,5,0.8,"161,401",12.3
363,CHANCE,10,5,0.9,"143,978",11
364,FEATURE,10,5,4,"32,669",2.5
365,ROLE,10,5,0.8,"155,882",11.9
366,ROOT,10,5,6.2,"20,996",1.6
367,SERVICE,10,5,0.7,"189,622",14.5
368,ACCOUNT,10,5,1.9,"68,715",5.3
369,ANSWER,10,5,1.4,"92,525",7.1
370,LEADERSHIP,10,5,2,"65,270",5
371,SKILL,10,4,4.8,"27,505",2.1
372,APPROACH,10,4,1.4,"96,317",7.4
373,COLLECTION,10,4,2,"66,456",5.1
374,PULSE,10,4,10.7,"12,173",0.9
375,PLOT,10,4,5.7,"22,942",1.8
376,OFFICE,10,4,0.6,"233,990",17.9
377,OFFICIAL,10,3,4.6,"28,236",2.2
378,PROCESSING,10,3,8.3,"15,828",1.2
379,HORSE,10,3,2.9,"44,409",3.4
380,RIVER,10,3,1.5,"89,153",6.8
381,CORNEA,10,2,269.5,485,0
382,BOUNDARY,10,2,16.3,"8,003",0.6
383,OIL,10,2,0.9,"145,482",11.1
384,HOSTAGE,10,1,14.6,"8,965",0.7
385,MOUTH,10,1,1.6,"79,307",6.1
386,PULP,10,1,36.9,"3,542",0.3
387,PLANTING,10,1,39.5,"3,308",0.3
388,EXHAUST,10,1,38.5,"3,398",0.3
389,THEATER,10,1,3.5,"37,542",2.9
390,SUBJECT,9,7,1.5,"80,620",6.2
391,PIECE,9,7,1.1,"107,433",8.2
392,SECOND,9,7,1.3,"91,169",7
393,DEGREE,9,7,1.6,"73,373",5.6
394,DECADE,9,6,2.2,"53,310",4.1
395,CHALLENGE,9,6,2,"59,361",4.5
396,BENEFIT,9,6,3.1,"37,410",2.9
397,PERFORMANCE,9,6,1.1,"111,701",8.5
398,PERCENT,9,6,0.3,"357,450",27.3
399,OPPORTUNITY,9,6,1.2,"101,110",7.7
400,ORIGIN,9,6,6,"19,557",1.5
401,HOME,9,6,0.4,"308,735",23.6
402,POLICY,9,5,0.7,"175,699",13.4
403,OBSERVATION,9,5,5.9,"19,899",1.5
404,DATE,9,5,1.4,"82,759",6.3
405,FUNCTION,9,5,2.6,"44,398",3.4
406,RETURN,9,4,2.1,"56,259",4.3
407,RISK,9,4,1,"116,251",8.9
408,FALL,9,4,1.8,"66,724",5.1
409,EXPERIMENT,9,4,4.6,"25,842",2
410,QUANTUM,9,4,10,"11,746",0.9
411,ORGAN,9,4,12.1,"9,741",0.7
412,SECTION,9,4,1.2,"98,233",7.5
413,SCALE,9,4,2.1,"54,990",4.2
414,WEATHER,9,4,2.1,"56,549",4.3
415,TABLE,9,4,0.5,"216,000",16.5
416,INCREASE,9,3,2.2,"54,055",4.1
417,SALT,9,3,2.6,"44,868",3.4
418,DOG,9,3,1.2,"98,273",7.5
419,COMPUTER,9,3,1.1,"108,093",8.3
420,BASIN,9,3,14.1,"8,364",0.6
