index,word,freq,# texts,freq/texts,entire corpus,expected
135,HOPE,46,34,2.9,"18,689",16.1
136,BAG,46,30,1.8,"29,805",25.7
137,CRIME,46,24,1.6,"33,082",28.5
138,RIGHT,45,36,0.6,"87,141",75.1
139,HUNDRED,45,30,2.9,"17,959",15.5
140,ROCK,45,25,2.4,"21,899",18.9
141,STAR,45,23,2.2,"24,011",20.7
142,PICTURE,45,23,1.5,"33,677",29
143,FISH,45,19,2.3,"22,666",19.5
144,REASON,44,36,0.8,"66,949",57.7
145,LOSER,44,33,7.3,"6,980",6
146,CARD,44,26,1.8,"27,952",24.1
147,REST,43,38,0.9,"54,723",47.2
148,HOUSE,43,34,0.3,"157,991",136.2
149,MEMORY,43,29,2.9,"17,297",14.9
150,DOLLAR,43,28,8,"6,248",5.4
151,SEWER,43,12,28.7,"1,739",1.5
152,FORM,42,30,3.7,"13,017",11.2
153,HOLE,42,27,2.5,"19,341",16.7
154,SCIENCE,42,22,3,"16,415",14.2
155,LAND,42,20,2,"24,120",20.8
156,PIECE,41,27,1.2,"38,854",33.5
157,EGG,41,19,5.4,"8,746",7.5
158,OIL,41,16,3.5,"13,690",11.8
159,PERSON,40,32,0.5,"85,155",73.4
160,FEELING,40,28,2.2,"21,049",18.2
161,THOUSAND,40,28,3.1,"15,014",12.9
162,HAIR,40,26,1,"45,214",39
163,SEX,40,25,0.9,"54,017",46.6
164,UNIT,40,23,3.2,"14,388",12.4
165,FUN,39,30,1.2,"37,431",32.3
166,DOOR,39,28,0.6,"79,169",68.3
167,MOUTH,39,28,1.6,"28,240",24.4
168,HONEY,39,26,0.7,"62,229",53.7
169,SECRET,39,25,2.3,"19,770",17
170,FATHER,39,24,0.3,"142,279",122.7
171,CAT,39,20,2,"22,230",19.2
172,SUN,39,13,2,"23,032",19.9
173,ACTION,38,34,2.5,"17,756",15.3
174,LOOK,38,30,0.7,"63,624",54.9
175,AIR,38,28,1,"45,735",39.4
176,SIDE,38,27,0.6,"69,754",60.2
177,HELP,38,26,0.7,"66,377",57.2
178,PAPER,38,20,1.7,"26,221",22.6
179,CREAM,37,23,3.1,"13,961",12
180,PRESIDENT,37,17,1.1,"38,052",32.8
181,PIZZA,37,15,3.3,"13,008",11.2
182,BASTARD,36,24,3.1,"13,332",11.5
183,MOTHER,36,23,0.3,"125,597",108.3
184,BROTHER,36,23,0.5,"81,004",69.9
185,HISTORY,36,20,1.2,"34,476",29.7
186,HAT,36,19,2.8,"14,815",12.8
187,FREEDOM,36,6,3.8,"11,053",9.5
188,RACE,35,26,2.3,"17,332",14.9
189,SKIN,35,26,2.5,"16,467",14.2
190,MONKEY,35,16,5.2,"7,842",6.8
191,COUPLE,34,31,0.5,"73,371",63.3
192,BUTT,34,30,4,"9,742",8.4
193,FAULT,34,26,1.1,"36,732",31.7
194,BUCK,34,24,6.9,"5,708",4.9
195,SENSE,34,24,0.9,"44,554",38.4
196,TOILET,34,21,4.3,"9,159",7.9
197,BOOK,34,21,0.8,"49,589",42.8
198,ACTOR,34,11,8.4,"4,716",4.1
199,HORN,34,6,9.5,"4,139",3.6
200,NEED,33,30,1.4,"27,091",23.4
201,BLOOD,33,27,0.5,"71,288",61.5
202,PAIN,33,23,1.2,"31,766",27.4
203,PHONE,33,22,0.4,"90,991",78.5
204,WINNER,33,22,3.7,"10,250",8.8
205,GIFT,33,22,1.7,"22,089",19
206,AGE,33,21,1.4,"26,930",23.2
207,FAN,33,18,3.3,"11,616",10
208,GHOST,33,16,2.9,"13,008",11.2
209,CHOICE,32,24,0.9,"40,482",34.9
210,LUCK,32,23,0.9,"42,939",37
211,NUT,32,21,10,"3,708",3.2
212,WAR,32,16,0.7,"52,323",45.1
213,MUSIC,32,14,1.1,"34,911",30.1
214,HONOR,31,27,1.3,"28,352",24.4
215,BED,31,23,0.7,"50,458",43.5
216,LAW,31,22,1.1,"32,880",28.4
217,OFFICE,31,22,0.5,"73,178",63.1
218,LESSON,31,22,3.6,"9,998",8.6
219,TEAM,31,21,0.5,"73,623",63.5
220,LEG,31,20,2.2,"16,252",14
221,SYSTEM,30,21,0.8,"41,601",35.9
222,CHARGE,30,21,1.9,"18,434",15.9
223,DEVICE,30,18,3.4,"10,216",8.8
224,EMOTION,30,18,11.3,"3,086",2.7
225,EAR,30,17,4,"8,752",7.5
226,MOON,30,15,2.3,"15,192",13.1
227,MONTH,29,26,1.2,"27,326",23.6
228,ORDER,29,25,1.1,"29,480",25.4
229,MEAT,29,23,2.6,"12,972",11.2
230,MORNING,29,23,0.3,"121,953",105.2
231,GUN,29,21,0.6,"58,196",50.2
232,SPACESHIP,29,19,16,"2,108",1.8
233,BOOT,29,17,10.3,"3,254",2.8
234,ATTENTION,28,24,1.2,"27,197",23.5
235,SKY,28,23,2.6,"12,275",10.6
236,ATTACK,28,22,1.4,"22,426",19.3
237,LIGHT,28,22,1,"32,067",27.7
238,CONTROL,28,21,0.9,"37,663",32.5
239,SIGN,28,21,1.4,"22,932",19.8
240,LUNCH,28,19,1.1,"30,181",26
241,PARK,28,17,1.3,"25,063",21.6
242,BILLION,28,17,5,"6,474",5.6
243,HUSBAND,28,15,0.5,"65,608",56.6
244,COFFEE,28,14,0.9,"36,585",31.5
245,TECHNOLOGY,28,13,3,"10,945",9.4
246,BIRTHDAY,28,9,1.1,"30,139",26
247,SORT,27,24,1,"30,500",26.3
248,JOKE,27,21,1.6,"20,126",17.4
249,FIELD,27,19,1.3,"24,413",21.1
250,VIDEO,27,18,1.5,"20,334",17.5
251,DANCE,27,14,1.8,"17,442",15
252,CAMERA,27,13,1.6,"19,848",17.1
253,TROUBLE,26,22,0.5,"57,366",49.5
254,NECK,26,20,1.7,"17,396",15
255,DAD,26,19,0.2,"170,671",147.2
256,SEASON,26,18,2,"14,866",12.8
257,CAKE,26,16,1.9,"15,795",13.6
258,DIMENSION,26,10,11.3,"2,667",2.3
259,FLOOR,25,24,1,"28,619",24.7
260,ANSWER,25,22,1,"27,931",24.1
261,TOOTH,25,21,7,"4,156",3.6
262,RAT,25,20,3.5,"8,366",7.2
263,CLUB,25,20,0.9,"32,325",27.9
264,CAN,25,20,5.3,"5,424",4.7
265,VOICE,25,19,0.9,"31,270",27
266,APARTMENT,25,18,1,"27,873",24
267,MAMA,25,16,1.5,"18,988",16.4
268,SCIENTIST,25,15,5.6,"5,173",4.5
269,CELL,25,15,1.2,"25,098",21.6
270,DECISION,25,12,1.2,"24,699",21.3
271,GANG,25,12,2.9,"10,164",8.8
272,SURFACE,25,11,2.7,"10,745",9.3
273,WEDDING,25,11,0.8,"34,442",29.7
274,FLAG,25,6,5.5,"5,247",4.5
275,EMPEROR,25,4,7.2,"4,020",3.5
276,MILE,24,22,4.1,"6,864",5.9
277,USE,24,21,2.1,"13,554",11.7
278,SURPRISE,24,21,1.3,"21,961",18.9
279,BUS,24,20,1.5,"18,717",16.1
280,THOUGHT,24,20,1,"28,502",24.6
281,DUMP,24,19,8.4,"3,313",2.9
282,PIG,24,19,3,"9,259",8
283,TOP,24,19,1,"26,968",23.3
284,MESSAGE,24,18,0.8,"32,770",28.3
285,SEAT,24,18,1.2,"22,976",19.8
286,CHICKEN,24,17,1.6,"17,388",15
287,PACKAGE,24,16,3.9,"7,077",6.1
288,PERCENT,24,16,4,"6,991",6
289,SEA,24,16,1.5,"19,092",16.5
290,CARE,24,15,0.5,"58,453",50.4
291,GAS,24,15,1.5,"18,802",16.2
292,ENGINE,24,14,3,"9,147",7.9
293,MYSTERY,24,13,2.6,"10,881",9.4
294,COPY,24,13,3.3,"8,423",7.3
295,DAUGHTER,24,12,0.5,"60,898",52.5
296,SLAVE,24,12,5.9,"4,718",4.1
297,BUTTON,24,11,3.6,"7,817",6.7
298,PLAYER,24,11,2.9,"9,688",8.4
299,MEDAL,24,7,10.1,"2,752",2.4
300,BEE,24,5,6.3,"4,403",3.8
301,CASINO,24,4,6.8,"4,070",3.5
302,ACT,23,21,1.7,"15,823",13.6
303,OTHERS,23,21,0.9,"30,568",26.4
304,GROUND,23,20,0.9,"28,606",24.7
305,TABLE,23,19,0.9,"31,297",27
306,CALL,23,19,0.5,"57,257",49.4
307,SOUND,23,19,1.3,"20,100",17.3
308,TOWN,23,17,0.4,"59,975",51.7
309,BATTLE,23,15,1.6,"17,194",14.8
310,MALE,23,13,4.4,"6,059",5.2
311,HAM,23,13,8.6,"3,105",2.7
312,CAREER,23,12,1.6,"16,799",14.5
313,FILM,23,12,1.8,"14,883",12.8
314,WAVE,23,11,4.6,"5,809",5
315,MARRIAGE,23,9,1.2,"23,052",19.9
316,ZERO,23,8,7.7,"3,460",3
317,CLAMP,23,5,41.7,639,0.6
318,FINGER,22,19,2.2,"11,492",9.9
319,CHAIR,22,19,1.8,"14,518",12.5
320,CRAB,22,18,8.3,"3,070",2.6
321,FATE,22,18,3,"8,436",7.3
322,WEAPON,22,18,1.1,"22,938",19.8
