index,word,freq,# texts,freq/texts,entire corpus,expected
426,CITIZEN,10,7,4.1,"27,660",2.5
427,CHOICE,10,7,1,"117,164",10.4
428,BAG,10,7,1.8,"62,151",5.5
429,AUTHOR,10,7,1.1,"104,920",9.3
430,DEBATE,10,7,1.4,"78,806",7
431,DISCOVERY,10,7,4.1,"27,667",2.5
432,SOCIETY,10,7,0.7,"150,152",13.4
433,SOUTH,10,7,0.9,"120,957",10.8
434,REST,10,7,0.8,"149,578",13.3
435,ANSWER,10,7,1.2,"92,525",8.2
436,APPROACH,10,7,1.2,"96,317",8.6
437,ADMINISTRATION,10,6,0.9,"126,064",11.2
438,ROUTE,10,6,3.7,"30,808",2.7
439,WEATHER,10,6,2,"56,549",5
440,MANUFACTURING,10,6,5.3,"21,098",1.9
441,PASS,10,5,3.8,"29,426",2.6
442,COAST,10,5,2.2,"51,051",4.5
443,AFTERNOON,10,5,1.8,"63,993",5.7
444,CEREMONY,10,5,5.9,"19,147",1.7
445,BRAND,10,5,4,"28,118",2.5
446,ISLAND,10,5,1.4,"79,484",7.1
447,SCALE,10,4,2,"54,990",4.9
448,HOTEL,10,3,1.6,"68,705",6.1
449,ABORTION,10,2,2.9,"38,167",3.4
450,UTILITY,10,2,6.2,"18,024",1.6
451,EXPLOSIVES,10,1,19.3,"5,816",0.5
452,DELEGATE,10,1,39.8,"2,827",0.3
453,GANG,10,1,5.1,"22,198",2
454,MATERIAL,9,9,1.4,"73,719",6.6
455,ORDER,9,9,0.9,"108,675",9.7
456,BLOCK,9,9,2.1,"48,662",4.3
457,PUBLIC,9,9,1.1,"96,392",8.6
458,RELATIONSHIP,9,8,0.7,"136,903",12.2
459,REVENUE,9,8,2.8,"36,751",3.3
460,ARREST,9,8,4.6,"21,776",1.9
461,SENSE,9,8,0.5,"216,578",19.3
462,SUPPLY,9,8,2.8,"36,121",3.2
463,FIELD,9,8,0.7,"149,234",13.3
464,OPTION,9,8,2,"51,898",4.6
465,TALK,9,8,1.4,"70,062",6.2
466,ILLNESS,9,7,3.8,"26,485",2.4
467,INTELLIGENCE,9,7,1.6,"64,897",5.8
468,PAGE,9,7,1,"103,301",9.2
469,UNIT,9,7,2,"51,348",4.6
470,TROUBLE,9,7,1.1,"88,540",7.9
471,TRACK,9,7,1.8,"56,751",5
472,BANK,9,7,1.1,"91,340",8.1
473,DEFENSE,9,7,0.8,"121,007",10.8
474,TEXT,9,7,1.5,"68,410",6.1
475,COLOR,9,6,0.8,"121,131",10.8
476,ARTIST,9,6,1.8,"55,410",4.9
477,RIDE,9,6,2.6,"38,540",3.4
478,DEVICE,9,6,2.3,"43,648",3.9
479,FACTOR,9,6,1.8,"55,705",5
480,PRODUCTION,9,6,1.2,"87,348",7.8
481,SIZE,9,6,1,"100,534",8.9
482,SCIENCE,9,6,0.7,"150,410",13.4
483,STAKE,9,6,5.7,"17,694",1.6
484,STAR,9,6,1,"98,970",8.8
485,STRATEGY,9,6,1.5,"66,559",5.9
486,OWNERSHIP,9,6,5.6,"18,060",1.6
487,MEASURE,9,6,2.3,"43,075",3.8
488,LESSON,9,6,2.9,"35,028",3.1
489,MOM,9,6,0.7,"148,881",13.2
490,LAW-ENFORCEMENT,9,6,79.1,"1,280",0.1
491,INJURY,9,6,2.8,"35,564",3.2
492,HOMICIDE,9,6,10.4,"9,742",0.9
493,INVOLVEMENT,9,5,3.6,"28,109",2.5
494,MINORITY,9,5,2.9,"34,741",3.1
495,TALENT,9,5,2.8,"35,558",3.2
496,TRADE,9,5,1.2,"87,746",7.8
497,EXPERIENCE,9,5,0.6,"178,596",15.9
498,DEMAND,9,5,2.6,"38,722",3.4
499,CONSPIRACY,9,4,5.8,"17,370",1.5
500,COUNCIL,9,4,1.3,"76,857",6.8
