index,word,freq,# texts,freq/text,entire corpus,expected
303,SKY,12,12,2.1,"12,275",5.8
304,BRAIN,12,11,0.8,"32,461",15.3
305,CELL,12,11,1,"25,098",11.8
306,MOUNTAIN,12,11,2.5,"10,152",4.8
307,INTEREST,12,10,1.6,"15,543",7.3
308,ANIMAL,12,10,1.6,"16,143",7.6
309,PAIN,12,10,0.8,"31,766",15
310,FAULT,12,10,0.7,"36,732",17.3
311,SENSE,12,10,0.6,"44,554",21
312,VOICE,12,10,0.8,"31,270",14.7
313,FAVOR,12,9,1.4,"18,843",8.9
314,BEING,12,9,2.6,"9,720",4.6
315,BEAUTY,12,8,2.3,"11,216",5.3
316,KISS,12,8,2.8,"9,172",4.3
317,MILK,12,8,2.2,"11,465",5.4
318,CONTROL,12,8,0.7,"37,663",17.8
319,FINGER,12,8,2.2,"11,492",5.4
320,RECORD,12,8,1,"26,708",12.6
321,CHAIR,12,7,1.8,"14,518",6.8
322,BALL,12,7,1,"24,825",11.7
323,AGE,12,7,0.9,"26,930",12.7
324,UNCLE,12,6,0.9,"29,004",13.7
325,HALF,12,5,2.5,"10,354",4.9
326,SPEECH,12,4,2.1,"12,299",5.8
327,EVIDENCE,11,11,0.5,"44,294",20.9
328,WILL,11,10,0.6,"39,021",18.4
329,WIND,11,10,2,"11,911",5.6
330,STOMACH,11,10,2.3,"10,026",4.7
331,KITCHEN,11,9,1,"23,282",11
332,LAWYER,11,9,0.9,"26,692",12.6
333,MYSTERY,11,9,2.1,"10,881",5.1
334,NOSE,11,9,1.5,"16,072",7.6
335,PRICE,11,9,1.3,"17,798",8.4
336,CASH,11,9,1,"22,568",10.6
337,BUDDY,11,9,0.7,"33,249",15.7
338,FISH,11,9,1,"22,666",10.7
339,COURT,11,9,0.7,"33,876",16
340,DARKNESS,11,8,3.6,"6,549",3.1
341,DATE,11,8,0.5,"47,386",22.3
342,DEAR,11,8,2.8,"8,280",3.9
343,CONNECTION,11,8,1.7,"13,444",6.3
344,FLOWER,11,8,4.9,"4,784",2.3
345,EXPERIENCE,11,8,1.2,"19,032",9
346,EVENT,11,8,2.1,"11,283",5.3
347,MARK,11,8,0.9,"26,619",12.6
348,SHADOW,11,8,3.7,"6,267",3
349,BOOT,11,8,7.2,"3,254",1.5
350,SUMMER,11,8,1.3,"18,153",8.6
351,CHOICE,11,8,0.6,"40,482",19.1
352,BAIL,11,7,5.1,"4,609",2.2
353,COORDINATE,11,7,235.6,99,0
354,CREAM,11,7,1.7,"13,961",6.6
355,BIRTHDAY,11,6,0.8,"30,139",14.2
356,SITUATION,11,6,0.9,"27,345",12.9
357,ATTACK,11,6,1,"22,426",10.6
358,AGREEMENT,11,5,3.5,"6,583",3.1
359,TYPE,11,5,1.2,"18,945",8.9
360,CHEESE,11,5,1.7,"13,592",6.4
361,FOREST,11,5,3.1,"7,610",3.6
362,WELL,11,3,3.9,"5,941",2.8
363,DEPUTY,10,9,3.3,"6,473",3.1
364,CORNER,10,9,1.3,"15,901",7.5
365,CLASS,10,9,0.7,"31,261",14.7
366,MOON,10,9,1.4,"15,192",7.2
367,WOUND,10,9,2.9,"7,387",3.5
368,TURN,10,8,1.2,"17,080",8.1
369,MIDNIGHT,10,8,2.5,"8,519",4
370,SUSPECT,10,8,1.5,"13,903",6.6
371,RIVER,10,8,1.4,"15,572",7.3
372,POCKET,10,8,2,"10,811",5.1
373,PATH,10,8,2.1,"9,938",4.7
374,MAP,10,8,2.3,"9,207",4.3
375,MEMORY,10,8,1.2,"17,297",8.2
376,CONTRACT,10,8,2.3,"9,093",4.3
377,FELLOW,10,8,3.2,"6,568",3.1
378,CIRCLE,10,7,3.2,"6,673",3.1
379,FOOL,10,7,1.9,"11,176",5.3
380,CONFERENCE,10,7,2.5,"8,612",4.1
381,DIFFERENCE,10,7,1,"21,063",9.9
382,DELIVERY,10,7,2.9,"7,225",3.4
383,NECK,10,7,1.2,"17,396",8.2
384,NIGHTMARE,10,7,2.7,"7,805",3.7
385,PROJECT,10,7,1.5,"14,166",6.7
386,PERCENT,10,7,3,"6,991",3.3
387,GOODNESS,10,7,2.3,"9,405",4.4
388,RESPECT,10,7,1.4,"15,504",7.3
389,TROUT,10,7,20.9,"1,015",0.5
390,VICTIM,10,7,0.7,"31,336",14.8
391,TOOTH,10,7,5.1,"4,156",2
392,TRAIL,10,6,3,"7,004",3.3
393,LOCATION,10,6,1.7,"12,623",6
394,COMMUNITY,10,6,1.6,"13,455",6.3
395,ANGEL,10,6,1.5,"13,693",6.5
396,DADDY,10,6,0.5,"39,121",18.4
397,BUREAU,10,6,5.6,"3,767",1.8
398,SYMBOL,10,5,5,"4,251",2
399,TRIAL,10,5,1.1,"18,954",8.9
400,WEDDING,10,5,0.6,"34,442",16.2
401,WITNESS,10,5,1.1,"20,156",9.5
402,WHITE,10,1,2.3,"9,279",4.4
403,BUNNY,10,1,5.6,"3,801",1.8
404,RULE,9,9,1.8,"10,578",5
405,ENFORCEMENT,9,9,6.4,"2,962",1.4
406,BREAK,9,8,0.8,"22,753",10.7
407,DRESS,9,8,1,"18,821",8.9
408,DOC,9,8,1.2,"16,201",7.6
409,NEED,9,8,0.7,"27,091",12.8
410,JOKE,9,8,0.9,"20,126",9.5
411,ARSON,9,8,11.9,"1,600",0.8
412,THINKING,9,8,1.8,"10,826",5.1
413,WALK,9,8,1.5,"12,620",6
414,GUESS,9,8,2,"9,361",4.4
415,HEARING,9,7,2.8,"6,891",3.2
416,PARTY,9,7,0.2,"78,159",36.9
417,OFFICER,9,7,0.5,"35,233",16.6
418,OBJECT,9,7,3.7,"5,162",2.4
419,CAKE,9,7,1.2,"15,795",7.4
420,EDGE,9,7,1.9,"10,227",4.8
421,FATE,9,6,2.3,"8,436",4
422,CASINO,9,6,4.7,"4,070",1.9
423,GOVERNMENT,9,6,0.8,"24,018",11.3
424,LOSS,9,6,1.5,"12,639",6
425,ISSUE,9,6,1.6,"12,015",5.7
426,ACT,9,6,1.2,"15,823",7.5
427,BADGE,9,6,3.4,"5,538",2.6
428,COCONUT,9,6,10.1,"1,898",0.9
429,TOE,9,6,6.5,"2,949",1.4
430,TEA,9,6,0.9,"20,272",9.6
431,CLAIM,9,5,4.7,"4,101",1.9
432,BOMB,9,5,1.1,"16,626",7.8
433,JUSTICE,9,5,1.2,"16,508",7.8
434,RUNNER,9,5,10.1,"1,888",0.9
435,EVIL,9,5,2.3,"8,184",3.9
436,DANCE,9,5,1.1,"17,442",8.2
437,HILL,9,4,1.7,"10,910",5.1
438,LODGE,9,4,9.9,"1,921",0.9
439,WEST,9,3,1,"18,994",9
440,ROPE,9,2,3.2,"5,940",2.8
441,PENGUIN,9,2,10.3,"1,850",0.9
442,DESK,8,8,1.1,"15,900",7.5
443,PAIR,8,8,1.6,"10,732",5.1
444,NORTH,8,8,0.8,"21,115",10
445,INDIVIDUAL,8,8,7.2,"2,370",1.1
446,HISTORY,8,8,0.5,"34,476",16.3
447,ICE,8,8,0.6,"27,909",13.2
448,SECURITY,8,8,0.4,"41,716",19.7
449,SMILE,8,8,2,"8,440",4
450,VEHICLE,8,7,1.9,"8,863",4.2
451,TASK,8,7,2.4,"7,115",3.4
452,STRANGER,8,7,2.8,"6,053",2.9
453,RESULT,8,7,2.5,"6,898",3.3
454,RELATIONSHIP,8,7,0.6,"30,350",14.3
455,GIFT,8,7,0.8,"22,089",10.4
456,MAIL,8,7,1.9,"8,938",4.2
457,LEDGER,8,7,16.6,"1,019",0.5
458,MOOD,8,7,1.6,"10,509",5
459,JAIL,8,7,1.2,"14,360",6.8
460,EGG,8,7,1.9,"8,746",4.1
461,FARM,8,7,1.8,"9,669",4.6
462,CAT,8,7,0.8,"22,230",10.5
463,ABILITY,8,7,2.1,"7,892",3.7
464,PAST,8,7,0.9,"19,266",9.1
465,CUSTOMER,8,7,3.2,"5,269",2.5
466,COVER,8,6,1.4,"12,009",5.7
467,CONVENT,8,6,21.5,790,0.4
468,COOKIE,8,6,3.4,"5,032",2.4
469,DISTANCE,8,6,2.1,"8,170",3.9
470,PLATE,8,6,1.5,"11,012",5.2
471,POLICY,8,6,2.1,"7,970",3.8
472,PEACE,8,6,0.8,"20,682",9.8
473,BEGINNING,8,6,1.3,"12,585",5.9
474,BASIS,8,6,4.1,"4,113",1.9
475,CONCERN,8,6,2,"8,469",4
476,COLOR,8,6,1.5,"11,280",5.3
477,FORCE,8,6,0.7,"22,961",10.8
478,ENGINE,8,6,1.9,"9,147",4.3
479,EMERGENCY,8,6,1,"17,435",8.2
480,NAIL,8,6,5.3,"3,171",1.5
481,HOOK,8,6,2.6,"6,519",3.1
482,STATEMENT,8,6,1.4,"12,041",5.7
483,STOP,8,6,1.4,"12,160",5.7
484,TASTE,8,6,1.6,"10,806",5.1
485,ROSE,8,5,1.2,"14,246",6.7
486,OWNER,8,5,1.8,"9,420",4.4
487,CODE,8,5,0.9,"18,571",8.8
488,INVITATION,8,5,3.9,"4,360",2.1
489,ATTITUDE,8,5,2.3,"7,344",3.5
490,OPENING,8,5,3,"5,648",2.7
491,CONTEST,8,5,3.3,"5,101",2.4
492,DEFENSE,8,5,1.4,"11,927",5.6
493,COMA,8,4,3.9,"4,393",2.1
494,GRANDSON,8,4,5.6,"3,014",1.4
495,SECRETARY,8,4,1.7,"10,223",4.8
496,GREEN,8,3,2.5,"6,816",3.2
497,HAY,8,2,11.1,"1,532",0.7
498,BOXING,8,1,9.5,"1,789",0.8
499,RETURN,7,7,1.7,"8,511",4
500,SEASON,7,7,1,"14,866",7
