Index,word,freq,# texts,freq/texts,entire corpus,expected
353,PATROL,13,3,4.8,"4,543",2.7
354,PAW,13,2,38.3,569,0.3
355,LEMONADE,13,1,12.7,"1,712",1
356,MARIONBERRIES,13,1,"1,453.40",15,0
357,MARIONBERRY,13,1,991,22,0
358,EXPERIENCE,12,12,1.1,"19,032",11.3
359,INFORMATION,12,11,0.5,"36,927",22
360,STATE,12,11,0.6,"31,352",18.7
361,BOARD,12,11,1.2,"17,230",10.3
362,SET,12,11,1.5,"13,825",8.2
363,VOLUME,12,10,8.4,"2,388",1.4
364,GENTLEMAN,12,10,2.3,"8,663",5.2
365,GAS,12,10,1.1,"18,802",11.2
366,STICK,12,9,2.8,"7,290",4.3
367,FUTURE,12,9,0.7,"30,303",18.1
368,BUS,12,9,1.1,"18,717",11.2
369,BOTTLE,12,9,1.3,"15,915",9.5
370,HOTEL,12,9,0.7,"27,191",16.2
371,SEX,12,9,0.4,"54,017",32.2
372,PLASTIC,12,8,2.9,"6,916",4.1
373,BOAT,12,8,0.9,"22,586",13.5
374,FATHER,12,8,0.1,"142,279",84.8
375,SON,12,6,0.2,"115,519",68.9
376,BOOKSTORE,12,6,26.1,771,0.5
377,MONSTER,12,5,1.4,"14,007",8.4
378,CRIME,12,5,0.6,"33,082",19.7
379,MOON,12,4,1.3,"15,192",9.1
380,PAINTING,12,4,2.5,"7,959",4.7
381,TEACHER,12,4,1.5,"13,739",8.2
382,SWEATER,12,4,5.6,"3,597",2.1
383,SOUP,12,4,2.6,"7,640",4.6
384,BITCH,12,4,0.6,"33,152",19.8
385,BACON,12,3,4,"4,984",3
386,NAIL,12,3,6.3,"3,171",1.9
387,REVIEW,12,3,6,"3,376",2
388,WHALE,12,3,6.6,"3,042",1.8
389,BROTH,12,1,37.5,536,0.3
390,RING,11,11,0.8,"22,715",13.5
391,THOUGHT,11,10,0.6,"28,502",17
392,VERSION,11,9,2.4,"7,557",4.5
393,GIRLFRIEND,11,9,0.7,"26,871",16
394,DIRECTION,11,9,1.9,"9,857",5.9
395,CONSTRUCTION,11,9,3.5,"5,197",3.1
396,PANT,11,9,52.6,351,0.2
397,BANK,11,8,0.8,"23,137",13.8
398,SUMMER,11,8,1,"18,153",10.8
399,STEP,11,8,1.1,"16,793",10
400,SPORT,11,7,3.6,"5,099",3
401,PLATE,11,7,1.7,"11,012",6.6
402,BICYCLE,11,7,9.6,"1,915",1.1
403,CAKE,11,7,1.2,"15,795",9.4
404,PEACE,11,7,0.9,"20,682",12.3
405,CHECK,11,7,1,"18,055",10.8
406,BABE,11,6,1.3,"14,065",8.4
407,SMELL,11,6,2.5,"7,421",4.4
408,T-SHIRT,11,6,7.1,"2,612",1.6
409,MOTORCYCLE,11,5,5.7,"3,250",1.9
410,NEEDLE,11,5,4.2,"4,366",2.6
411,UNIFORM,11,5,2.7,"6,762",4
412,COMMENT,11,5,5.3,"3,507",2.1
413,JEANS,11,4,5.6,"3,313",2
414,FURNITURE,11,4,4.2,"4,346",2.6
415,NERD,11,3,8.5,"2,170",1.3
416,PRINTER,11,3,16.2,"1,137",0.7
417,PIANO,11,3,3.9,"4,721",2.8
418,BARBECUE,11,1,7.5,"2,452",1.5
419,CACAO,11,1,192.2,96,0.1
420,BUCK,10,10,2.9,"5,708",3.4
421,BRAIN,10,9,0.5,"32,461",19.4
422,SIZE,10,9,1.1,"15,703",9.4
423,HOPE,10,8,0.9,"18,689",11.1
424,APOLOGY,10,8,2.4,"7,065",4.2
425,AD,10,8,4.2,"3,949",2.4
426,MIDDLE,10,8,0.7,"24,841",14.8
427,COVER,10,8,1.4,"12,009",7.2
428,DETAIL,10,8,2,"8,187",4.9
429,ENERGY,10,7,0.8,"20,861",12.4
430,DANCE,10,7,1,"17,442",10.4
431,LEG,10,7,1,"16,252",9.7
432,MUSICIAN,10,7,10.2,"1,652",1
433,NOTE,10,7,1.2,"13,797",8.2
434,GIFT,10,7,0.8,"22,089",13.2
435,FLAG,10,7,3.2,"5,247",3.1
436,TRUCK,10,7,0.7,"23,284",13.9
437,SHIT,10,7,0.2,"71,987",42.9
438,TELEVISION,10,7,1.9,"8,817",5.3
439,SPEAKER,10,6,6.4,"2,632",1.6
440,COW,10,6,2.6,"6,486",3.9
441,HOSPITAL,10,6,0.4,"43,676",26
442,BONE,10,5,1.6,"10,365",6.2
443,LAWYER,10,5,0.6,"26,692",15.9
444,PARADE,10,5,5,"3,323",2
445,ROW,10,5,2.4,"7,019",4.2
446,GOOD-BYE,10,4,6.9,"2,440",1.5
447,TAPE,10,4,1.1,"15,940",9.5
448,TAX,10,3,3,"5,660",3.4
449,TAPA,10,3,"1,677.00",10,0
450,STICKER,10,3,16,"1,048",0.6
451,WISH,10,3,2,"8,334",5
452,KNOT,10,3,11.1,"1,516",0.9
